LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01010568,1122,1051,71,0.94
E01010569,752,713,39,0.95
E01010570,1874,1824,50,0.97
E01010571,756,744,12,0.98
E01010572,376,370,6,0.98
E01010573,1500,1478,22,0.99
E01010574,756,748,8,0.99
E01010575,3032,2936,96,0.97
E01010576,2630,2522,108,0.96
E01010577,752,739,13,0.98
E01010579,1128,1120,8,0.99
E01010580,376,372,4,0.99
E01010581,752,744,8,0.99
E01010582,374,322,52,0.86
E01010583,1122,1040,82,0.93
E01010596,1128,1114,14,0.99
E01010599,375,373,2,1.00
E01010601,2618,2323,295,0.89
E01010602,375,350,25,0.93
E01010603,1126,1075,51,0.96
E01010606,378,373,5,0.99
E01010607,744,695,49,0.93
E01010609,375,365,10,0.97
E01010610,27359,25839,1520,0.94
E01010611,4875,4563,312,0.94
E01010612,374,341,33,0.91
E01010613,752,728,24,0.97
E01010614,374,371,3,0.99
E01010615,751,731,20,0.97
E01010616,26,24,2,0.92
E01010618,10078,9573,505,0.95
E01010619,8226,7889,337,0.96
E01010620,1868,1765,103,0.95
E01010621,372,369,3,0.99
E01010622,748,711,37,0.95
E01010623,3363,3239,124,0.96
E01010624,1116,1088,28,0.98
E01010625,4502,4297,205,0.95
E01010626,1874,1794,80,0.96
E01010627,31015,29707,1308,0.96
E01010649,2626,2514,112,0.96
E01010650,1882,1788,94,0.95
E01010651,1125,1062,63,0.94
E01010653,1871,1788,83,0.96
E01010654,3514,3324,190,0.95
E01010655,754,723,31,0.96
E01010656,1499,1454,45,0.97
E01010657,1501,1369,132,0.91
E01010662,744,714,30,0.96
E01010663,368,354,14,0.96
E01010665,1492,1411,81,0.95
E01010673,740,683,57,0.92
E01010674,681,627,54,0.92
E01010680,2250,2093,157,0.93
E01010681,1118,1070,48,0.96
E01010682,1173,1106,67,0.94
E01010683,9005,8575,430,0.95
E01010685,7482,7234,248,0.97
E01010686,751,693,58,0.92
E01010687,751,704,47,0.94
E01010688,1633,1553,80,0.95
E01010689,8208,7849,359,0.96
E01010690,1735,1664,71,0.96
E01010692,374,360,14,0.96
E01010695,376,352,24,0.94
E01010696,372,329,43,0.88
E01010697,378,366,12,0.97
E01010737,738,728,10,0.99
E01010739,374,287,87,0.77
E01010742,372,324,48,0.87
E01010749,748,694,54,0.93
E01010750,339,297,42,0.88
E01010751,374,301,73,0.81
E01010759,372,289,83,0.78
E01010764,1414,1386,28,0.98
E01010767,1500,1428,72,0.95
E01010768,1130,1049,81,0.93
E01010769,372,357,15,0.96
E01010771,1122,1072,50,0.96
E01010772,4138,3969,169,0.96
E01010773,7882,7520,362,0.95
E01010774,2621,2468,153,0.94
E01010779,372,337,35,0.91
E01010781,376,362,14,0.96
E01010782,1121,1094,27,0.98
E01010783,375,354,21,0.94
E01010786,378,341,37,0.90
E01010790,376,368,8,0.98
E01010791,372,340,32,0.91
E01010793,372,360,12,0.97
E01010805,756,727,29,0.96
E01010815,1157,1120,37,0.97
E01010816,6460,6211,249,0.96
E01010817,746,684,62,0.92
E01010819,356,356,0,1.00
E01010821,3380,3170,210,0.94
E01010823,378,319,59,0.84
E01010825,1506,1423,83,0.95
E01010826,748,715,33,0.96
E01010827,460,425,35,0.92
E01010828,528,455,73,0.86
E01010829,746,611,135,0.82
E01010830,1115,1064,51,0.95
E01010832,1882,1804,78,0.96
E01010838,376,363,13,0.97
E01010844,736,713,23,0.97
E01010853,744,709,35,0.95
E01010864,376,351,25,0.93
E01010867,68,63,5,0.93
E01010933,374,363,11,0.97
E01011013,12766,12422,344,0.97
E01011014,1738,1699,39,0.98
E01011021,1492,1366,126,0.92
E01011023,1120,1022,98,0.91
E01011024,1263,1189,74,0.94
E01011025,379,352,27,0.93
E01011028,1868,1842,26,0.99
E01011029,1494,1374,120,0.92
E01011030,2552,2471,81,0.97
E01011031,1124,1092,32,0.97
E01011032,220,217,3,0.99
E01011033,1496,1418,78,0.95
E01011035,372,356,16,0.96
E01011037,500,394,106,0.79
E01011049,1874,1736,138,0.93
E01011050,1122,1096,26,0.98
E01011051,1874,1753,121,0.94
E01011052,2523,2442,81,0.97
E01011054,1130,1083,47,0.96
E01011056,748,687,61,0.92
E01011057,372,352,20,0.95
E01011058,1402,1361,41,0.97
E01011059,3739,3529,210,0.94
E01011060,728,687,41,0.94
E01011061,376,338,38,0.90
E01011063,374,351,23,0.94
E01011064,376,347,29,0.92
E01011065,244,229,15,0.94
E01011122,374,364,10,0.97
E01011125,752,744,8,0.99
E01011126,3736,3644,92,0.98
E01011127,242,236,6,0.98
E01011128,606,565,41,0.93
E01011129,372,347,25,0.93
E01011142,374,370,4,0.99
E01011158,318,263,55,0.83
E01011160,374,360,14,0.96
E01011164,748,729,19,0.98
E01011166,374,371,3,0.99
E01011241,272,257,15,0.95
E01011248,484,465,19,0.96
E01011250,372,370,2,1.00
E01011264,26710,25752,958,0.96
E01011265,49183,47403,1780,0.96
E01011266,47906,46674,1232,0.97
E01011267,53402,51400,2002,0.96
E01011268,37158,35510,1648,0.96
E01011269,35487,34010,1477,0.96
E01011270,40978,40029,949,0.98
E01011271,72749,70601,2148,0.97
E01011272,46145,44949,1196,0.97
E01011273,33086,31611,1475,0.96
E01011274,42936,41125,1811,0.96
E01011275,42024,40466,1558,0.96
E01011276,34073,33067,1006,0.97
E01011277,40247,38973,1274,0.97
E01011278,40341,39303,1038,0.97
E01011279,31578,30794,784,0.98
E01011280,54856,53029,1827,0.97
E01011281,61437,58852,2585,0.96
E01011282,41563,39043,2520,0.94
E01011283,67582,64017,3565,0.95
E01011284,43363,41695,1668,0.96
E01011285,33156,32025,1131,0.97
E01011286,29886,28615,1271,0.96
E01011287,29574,28145,1429,0.95
E01011288,37487,35320,2167,0.94
E01011289,34867,33368,1499,0.96
E01011290,32666,31101,1565,0.95
E01011291,31203,29854,1349,0.96
E01011292,54479,51808,2671,0.95
E01011293,64279,61823,2456,0.96
E01011294,43393,41681,1712,0.96
E01011295,57741,55542,2199,0.96
E01011296,29928,29112,816,0.97
E01011297,38803,37233,1570,0.96
E01011298,52580,49772,2808,0.95
E01011299,79817,77124,2693,0.97
E01011300,44809,43027,1782,0.96
E01011301,28137,26976,1161,0.96
E01011302,16456,15890,566,0.97
E01011303,29601,28310,1291,0.96
E01011304,46773,44180,2593,0.95
E01011305,44574,42943,1631,0.96
E01011306,27114,26115,999,0.96
E01011307,46178,44342,1836,0.96
E01011308,43172,41561,1611,0.96
E01011309,38902,37098,1804,0.95
E01011310,35596,34456,1140,0.97
E01011311,23295,22568,727,0.97
E01011312,65151,62142,3009,0.95
E01011313,56604,54315,2289,0.96
E01011314,51026,49126,1900,0.96
E01011315,55814,53733,2081,0.96
E01011316,70444,67343,3101,0.96
E01011317,48476,45873,2603,0.95
E01011318,62321,59476,2845,0.95
E01011319,45532,43573,1959,0.96
E01011320,54948,52674,2274,0.96
E01011321,56283,54033,2250,0.96
E01011322,44961,42617,2344,0.95
E01011323,33452,32083,1369,0.96
E01011324,53687,50715,2972,0.95
E01011325,44114,42291,1823,0.96
E01011326,52701,50235,2466,0.95
E01011327,35626,34196,1430,0.96
E01011328,48081,46215,1866,0.96
E01011329,26280,25367,913,0.97
E01011330,34753,33422,1331,0.96
E01011331,31140,30136,1004,0.97
E01011332,71441,67352,4089,0.94
E01011333,41787,40212,1575,0.96
E01011334,36919,35628,1291,0.97
E01011335,42131,40875,1256,0.97
E01011336,32644,31131,1513,0.95
E01011337,99724,95216,4508,0.96
E01011338,78674,76612,2062,0.97
E01011339,71923,68580,3343,0.95
E01011340,57356,54645,2711,0.95
E01011341,44899,42769,2130,0.95
E01011342,94768,90936,3832,0.96
E01011343,31742,30068,1674,0.95
E01011344,90229,84072,6157,0.93
E01011345,47596,45420,2176,0.95
E01011346,66673,63638,3035,0.95
E01011347,91748,85737,6011,0.93
E01011348,76209,72911,3298,0.96
E01011349,43366,41678,1688,0.96
E01011350,35653,34592,1061,0.97
E01011351,24755,23949,806,0.97
E01011352,27304,26288,1016,0.96
E01011353,36086,35118,968,0.97
E01011354,57772,54879,2893,0.95
E01011355,51634,49459,2175,0.96
E01011356,37990,36355,1635,0.96
E01011357,84481,80417,4064,0.95
E01011358,49935,47593,2342,0.95
E01011359,46126,43878,2248,0.95
E01011360,87552,82831,4721,0.95
E01011361,108515,103254,5261,0.95
E01011362,50151,48205,1946,0.96
E01011363,63471,60553,2918,0.95
E01011364,77588,74946,2642,0.97
E01011365,18437,17467,970,0.95
E01011366,55900,53220,2680,0.95
E01011367,75877,72999,2878,0.96
E01011368,60865,58300,2565,0.96
E01011369,39230,37488,1742,0.96
E01011370,59489,57048,2441,0.96
E01011371,67616,64897,2719,0.96
E01011372,84552,80898,3654,0.96
E01011373,69764,67220,2544,0.96
E01011374,35789,34191,1598,0.96
E01011375,89169,84774,4395,0.95
E01011376,45324,44036,1288,0.97
E01011377,26969,26265,704,0.97
E01011378,41178,39695,1483,0.96
E01011379,44407,42234,2173,0.95
E01011380,29875,28824,1051,0.97
E01011381,32794,31448,1346,0.96
E01011382,33330,32503,827,0.98
E01011383,38601,37282,1319,0.97
E01011384,37889,36584,1305,0.97
E01011385,23649,22926,723,0.97
E01011386,34029,33023,1006,0.97
E01011387,37060,36017,1043,0.97
E01011388,36353,35100,1253,0.97
E01011389,52332,49735,2597,0.95
E01011390,36909,35773,1136,0.97
E01011391,33805,32609,1196,0.97
E01011392,54275,51989,2286,0.96
E01011393,39462,38266,1196,0.97
E01011394,22062,21319,743,0.97
E01011395,30024,29066,958,0.97
E01011396,45629,43669,1960,0.96
E01011397,38952,37588,1364,0.97
E01011398,23834,22997,837,0.97
E01011399,41633,40017,1616,0.96
E01011400,37811,35864,1947,0.95
E01011401,35362,34299,1063,0.97
E01011402,44125,42682,1443,0.97
E01011403,28355,27591,764,0.97
E01011404,38565,37126,1439,0.96
E01011405,36479,35313,1166,0.97
E01011406,32722,31629,1093,0.97
E01011407,35758,34179,1579,0.96
E01011408,22000,21247,753,0.97
E01011409,32842,31391,1451,0.96
E01011410,35444,34121,1323,0.96
E01011411,36744,35624,1120,0.97
E01011412,35717,34512,1205,0.97
E01011413,38605,37447,1158,0.97
E01011414,30249,29344,905,0.97
E01011415,37004,35486,1518,0.96
E01011416,39646,38199,1447,0.96
E01011417,20880,20133,747,0.96
E01011418,37465,36462,1003,0.97
E01011419,19380,18999,381,0.98
E01011420,16770,16153,617,0.96
E01011421,54935,52471,2464,0.96
E01011422,67043,63167,3876,0.94
E01011423,62576,59059,3517,0.94
E01011424,84730,81193,3537,0.96
E01011425,46899,44893,2006,0.96
E01011426,78258,73828,4430,0.94
E01011427,109382,104103,5279,0.95
E01011428,100178,94209,5969,0.94
E01011429,91075,86034,5041,0.95
E01011430,98140,92356,5784,0.94
E01011431,83338,79694,3644,0.96
E01011432,97001,91053,5948,0.94
E01011433,81860,76600,5260,0.94
E01011434,78575,73814,4761,0.94
E01011435,4294,4058,236,0.95
E01011436,4128,3985,143,0.97
E01011437,3380,3342,38,0.99
E01011438,10107,9852,255,0.98
E01011439,9071,8707,364,0.96
E01011440,6038,5844,194,0.97
E01011441,18614,17879,735,0.96
E01011442,3725,3609,116,0.97
E01011443,5796,5578,218,0.96
E01011444,7868,7502,366,0.95
E01011445,4724,4450,274,0.94
E01011446,11063,10582,481,0.96
E01011447,7422,7037,385,0.95
E01011448,18956,18069,887,0.95
E01011449,20102,19273,829,0.96
E01011450,40791,38799,1992,0.95
E01011451,9059,8839,220,0.98
E01011452,45486,44305,1181,0.97
E01011453,39550,38307,1243,0.97
E01011454,42396,41295,1101,0.97
E01011455,36095,35378,717,0.98
E01011456,56908,55511,1397,0.98
E01011457,30445,29693,752,0.98
E01011458,47002,45316,1686,0.96
E01011459,33666,32870,796,0.98
E01011460,53386,51282,2104,0.96
E01011461,49713,48721,992,0.98
E01011462,59278,56758,2520,0.96
E01011463,44358,42223,2135,0.95
E01011464,30611,29415,1196,0.96
E01011465,45088,43247,1841,0.96
E01011466,47334,45277,2057,0.96
E01011467,55162,52949,2213,0.96
E01011468,62984,60165,2819,0.96
E01011469,34014,32778,1236,0.96
E01011470,29622,28206,1416,0.95
E01011471,47035,44917,2118,0.96
E01011472,52429,50158,2271,0.96
E01011473,73171,69965,3206,0.96
E01011474,62357,59413,2944,0.95
E01011475,49743,47194,2549,0.95
E01011476,57627,54234,3393,0.94
E01011477,55274,53134,2140,0.96
E01011478,24703,23759,944,0.96
E01011479,3000,2886,114,0.96
E01011480,34220,33332,888,0.97
E01011481,31242,30001,1241,0.96
E01011482,24615,23388,1227,0.95
E01011483,32045,30575,1470,0.95
E01011484,63219,60283,2936,0.95
E01011485,45010,43212,1798,0.96
E01011486,45143,43354,1789,0.96
E01011487,48479,46278,2201,0.96
E01011488,29972,27846,2126,0.93
E01011489,38423,36441,1982,0.95
E01011490,107381,103510,3871,0.96
E01011491,52855,50455,2400,0.96
E01011492,66184,62594,3590,0.95
E01011493,57587,54722,2865,0.95
E01011494,78735,75633,3102,0.96
E01011495,111025,107399,3626,0.97
E01011496,49123,47600,1523,0.97
E01011497,57137,54770,2367,0.96
E01011498,69471,67163,2308,0.97
E01011499,113886,109558,4328,0.96
E01011500,24971,23892,1079,0.96
E01011501,59364,56422,2942,0.95
E01011502,45609,43445,2164,0.95
E01011503,33999,32513,1486,0.96
E01011504,43644,41628,2016,0.95
E01011505,50536,48732,1804,0.96
E01011506,51102,49095,2007,0.96
E01011507,47100,45473,1627,0.97
E01011508,53715,51957,1758,0.97
E01011509,32904,31994,910,0.97
E01011510,37715,36241,1474,0.96
E01011511,39332,38065,1267,0.97
E01011512,46002,44397,1605,0.97
E01011513,56816,55250,1566,0.97
E01011514,45189,43618,1571,0.97
E01011515,30154,29265,889,0.97
E01011516,41277,40226,1051,0.98
E01011517,50420,48513,1907,0.96
E01011518,64002,61192,2810,0.96
E01011519,46688,44842,1846,0.96
E01011520,34509,33183,1326,0.96
E01011521,53034,50946,2088,0.96
E01011522,33566,32459,1107,0.97
E01011523,56239,54394,1845,0.97
E01011524,24546,23590,956,0.96
E01011525,43484,42072,1412,0.97
E01011526,30064,29063,1001,0.97
E01011527,32410,31366,1044,0.97
E01011528,51512,49830,1682,0.97
E01011529,39714,37162,2552,0.94
E01011530,40146,38490,1656,0.96
E01011531,33188,32019,1169,0.97
E01011532,50106,47489,2617,0.95
E01011533,28108,26834,1274,0.96
E01011534,43061,41487,1574,0.96
E01011535,42678,41529,1149,0.97
E01011536,37932,36568,1364,0.96
E01011537,37345,36022,1323,0.97
E01011538,39944,37998,1946,0.95
E01011539,45713,43702,2011,0.96
E01011540,49680,47307,2373,0.95
E01011541,32154,30746,1408,0.96
E01011542,54639,52926,1713,0.97
E01011543,47420,45921,1499,0.97
E01011544,40742,38535,2207,0.95
E01011545,30788,29237,1551,0.95
E01011546,43512,41545,1967,0.96
E01011547,46352,44002,2350,0.95
E01011548,34415,32750,1665,0.95
E01011549,42978,41701,1277,0.97
E01011550,35011,33953,1058,0.97
E01011551,50765,49102,1663,0.97
E01011552,40700,38425,2275,0.94
E01011553,28027,27189,838,0.97
E01011554,39591,38656,935,0.98
E01011555,31326,30454,872,0.97
E01011556,51050,49321,1729,0.97
E01011557,30034,29382,652,0.98
E01011558,62569,59053,3516,0.94
E01011559,49342,47180,2162,0.96
E01011560,60605,57987,2618,0.96
E01011561,15347,14953,394,0.97
E01011562,23659,22857,802,0.97
E01011563,33284,32209,1075,0.97
E01011564,36065,35356,709,0.98
E01011565,40973,39803,1170,0.97
E01011566,33970,33092,878,0.97
E01011567,47080,45716,1364,0.97
E01011568,39368,38128,1240,0.97
E01011569,32359,31339,1020,0.97
E01011570,60581,59013,1568,0.97
E01011571,27942,26953,989,0.97
E01011572,41121,39739,1382,0.97
E01011573,30437,29453,984,0.97
E01011574,31520,30650,870,0.97
E01011575,32639,31815,824,0.98
E01011576,20300,19757,543,0.97
E01011577,38057,37221,836,0.98
E01011578,25301,24384,917,0.96
E01011579,43086,41864,1222,0.97
E01011580,33559,32770,789,0.98
E01011581,28323,27192,1131,0.96
E01011582,47723,45183,2540,0.95
E01011583,42754,40603,2151,0.95
E01011584,31729,30644,1085,0.97
E01011585,36009,34673,1336,0.96
E01011586,59185,56492,2693,0.95
E01011587,41642,40492,1150,0.97
E01011588,60480,58278,2202,0.96
E01011589,43600,42223,1377,0.97
E01011590,52200,50546,1654,0.97
E01011591,25936,25032,904,0.97
E01011592,35877,34781,1096,0.97
E01011593,47463,46215,1248,0.97
E01011594,52444,50249,2195,0.96
E01011595,53513,51440,2073,0.96
E01011596,42612,41527,1085,0.98
E01011597,50474,48347,2127,0.96
E01011598,34440,33158,1282,0.96
E01011599,48355,46537,1818,0.96
E01011600,35514,34458,1056,0.97
E01011601,64087,61411,2676,0.96
E01011602,51614,50113,1501,0.97
E01011603,34654,33733,921,0.97
E01011604,37852,36671,1181,0.97
E01011605,49036,47499,1537,0.97
E01011606,34955,33136,1819,0.95
E01011607,54770,52507,2263,0.96
E01011608,39891,38346,1545,0.96
E01011609,42919,41322,1597,0.96
E01011610,37657,36495,1162,0.97
E01011611,45152,43296,1856,0.96
E01011612,31193,29822,1371,0.96
E01011613,68508,65569,2939,0.96
E01011614,42801,41208,1593,0.96
E01011615,52309,49903,2406,0.95
E01011616,60908,57060,3848,0.94
E01011617,72535,69240,3295,0.96
E01011618,54214,50577,3637,0.93
E01011619,39311,37753,1558,0.96
E01011620,60006,57117,2889,0.95
E01011621,65696,62693,3003,0.95
E01011622,83328,78548,4780,0.94
E01011623,59977,57037,2940,0.95
E01011624,94311,88858,5453,0.94
E01011625,63022,59678,3344,0.95
E01011626,68488,65457,3031,0.96
E01011627,42435,40632,1803,0.96
E01011628,25574,24633,941,0.96
E01011629,35033,33905,1128,0.97
E01011630,58081,56108,1973,0.97
E01011631,40450,38790,1660,0.96
E01011632,50374,47932,2442,0.95
E01011633,27653,26724,929,0.97
E01011634,45104,42922,2182,0.95
E01011635,34333,33243,1090,0.97
E01011636,35432,34180,1252,0.97
E01011637,54295,52301,1994,0.96
E01011638,32728,31719,1009,0.97
E01011639,49064,46445,2619,0.95
E01011640,43402,41940,1462,0.97
E01011641,50279,48727,1552,0.97
E01011642,43412,41364,2048,0.95
E01011643,34364,33541,823,0.98
E01011644,36286,34989,1297,0.96
E01011645,50949,49339,1610,0.97
E01011646,58091,55616,2475,0.96
E01011647,76238,72284,3954,0.95
E01011648,60489,57749,2740,0.96
E01011649,39819,38681,1138,0.97
E01011650,36559,35359,1200,0.97
E01011651,38466,37058,1408,0.96
E01011652,36502,34949,1553,0.96
E01011653,24512,23868,644,0.97
E01011654,48601,47266,1335,0.97
E01011655,24390,23584,806,0.97
E01011656,65723,62093,3630,0.95
E01011657,42772,40324,2448,0.94
E01011658,60036,56365,3671,0.94
E01011659,37014,35055,1959,0.95
E01011660,45408,43091,2317,0.95
E01011661,35528,33612,1916,0.95
E01011662,57677,55060,2617,0.96
E01011663,77938,74283,3655,0.95
E01011664,39591,37377,2214,0.94
E01011665,38416,36844,1572,0.96
E01011666,37540,36271,1269,0.97
E01011667,90897,86492,4405,0.95
E01011668,14234,13585,649,0.95
E01011669,18606,17557,1049,0.94
E01011670,66371,63628,2743,0.96
E01011671,70449,67938,2511,0.96
E01011672,30039,28998,1041,0.97
E01011673,71473,67789,3684,0.95
E01011674,3368,3244,124,0.96
E01011675,97504,94130,3374,0.97
E01011676,19340,18525,815,0.96
E01011677,56833,53283,3550,0.94
E01011678,12401,11827,574,0.95
E01011679,124289,120144,4145,0.97
E01011680,20226,19335,891,0.96
E01011681,35102,32943,2159,0.94
E01011682,12239,11789,450,0.96
E01011683,16238,15865,373,0.98
E01011684,36003,35074,929,0.97
E01011685,33396,32418,978,0.97
E01011686,30923,29080,1843,0.94
E01011687,40006,38638,1368,0.97
E01011688,49432,47318,2114,0.96
E01011689,41850,40718,1132,0.97
E01011690,20888,20468,420,0.98
E01011691,38554,36861,1693,0.96
E01011692,19655,19084,571,0.97
E01011693,13240,12595,645,0.95
E01011694,32368,31430,938,0.97
E01011695,50865,48362,2503,0.95
E01011696,26591,26008,583,0.98
E01011697,44307,43089,1218,0.97
E01011698,35248,34260,988,0.97
E01011699,25452,24800,652,0.97
E01011700,24353,23683,670,0.97
E01011701,22769,22103,666,0.97
E01011702,20010,19586,424,0.98
E01011703,18928,18357,571,0.97
E01011704,24174,23245,929,0.96
E01011705,33070,31790,1280,0.96
E01011706,34386,33432,954,0.97
E01011707,37910,36757,1153,0.97
E01011708,27773,26991,782,0.97
E01011709,44957,43829,1128,0.98
E01011710,33065,32265,800,0.98
E01011711,32167,31307,860,0.97
E01011712,33699,32429,1270,0.96
E01011713,36864,35592,1272,0.97
E01011714,44898,43391,1507,0.97
E01011715,29259,28374,885,0.97
E01011716,42498,40945,1553,0.96
E01011717,43813,42180,1633,0.96
E01011718,62780,60202,2578,0.96
E01011719,32262,31068,1194,0.96
E01011720,39659,38290,1369,0.97
E01011721,65393,62100,3293,0.95
E01011722,68230,65106,3124,0.95
E01011723,68614,64859,3755,0.95
E01011724,64490,61062,3428,0.95
E01011725,62263,59019,3244,0.95
E01011726,48950,46751,2199,0.96
E01011727,42045,40525,1520,0.96
E01011728,30419,29090,1329,0.96
E01011729,33046,31295,1751,0.95
E01011730,67310,63347,3963,0.94
E01011731,33505,32438,1067,0.97
E01011732,47282,45716,1566,0.97
E01011733,32308,31358,950,0.97
E01011734,77734,74346,3388,0.96
E01011735,62725,59005,3720,0.94
E01011736,32958,31723,1235,0.96
E01011737,45247,43030,2217,0.95
E01011738,32961,31497,1464,0.96
E01011739,51933,49367,2566,0.95
E01011740,374,338,36,0.90
E01011742,294,252,42,0.86
E01011743,2242,2187,55,0.98
E01011744,1127,1044,83,0.93
E01011745,748,728,20,0.97
E01011746,2608,2473,135,0.95
E01011747,1051,1017,34,0.97
E01011748,1500,1470,30,0.98
E01011749,1176,1157,19,0.98
E01011751,2246,2156,90,0.96
E01011752,4112,3874,238,0.94
E01011753,1496,1463,33,0.98
E01011754,376,368,8,0.98
E01011755,1126,1116,10,0.99
E01011756,1122,1078,44,0.96
E01011757,5678,5509,169,0.97
E01011759,1277,1232,45,0.97
E01011760,2984,2907,77,0.97
E01011761,1610,1508,102,0.94
E01011762,2026,1966,60,0.97
E01011764,1280,1262,18,0.99
E01011775,6456,6315,141,0.98
E01011781,374,369,5,0.99
E01011804,700,630,70,0.90
E01011808,400,360,40,0.90
E01011813,746,722,24,0.97
E01011815,744,727,17,0.98
E01011820,374,354,20,0.95
E01011823,364,340,24,0.93
E01011826,372,370,2,1.00
E01011833,374,368,6,0.98
E01011834,266,266,0,1.00
E01011838,374,372,2,1.00
E01011839,372,360,12,0.97
E01011841,748,729,19,0.98
E01011873,5194,5023,171,0.97
E01011874,1858,1857,1,1.00
E01011875,3026,2820,206,0.93
E01011876,749,730,19,0.98
E01011877,580,572,8,0.99
E01011878,752,729,23,0.97
E01011879,374,365,9,0.98
E01011880,752,723,29,0.96
E01011881,1868,1828,40,0.98
E01011883,372,361,11,0.97
E01011884,1122,1031,91,0.92
E01011885,1492,1431,61,0.96
E01011886,2492,2430,62,0.98
E01011887,1606,1574,32,0.98
E01011889,484,478,6,0.99
E01011892,242,232,10,0.96
E01011893,378,302,76,0.80
E01011894,2994,2839,155,0.95
E01011895,378,369,9,0.98
E01011896,372,340,32,0.91
E01011897,702,654,48,0.93
E01011903,744,722,22,0.97
E01011907,376,343,33,0.91
E01011908,856,833,23,0.97
E01011921,484,475,9,0.98
E01011924,744,716,28,0.96
E01011926,746,701,45,0.94
E01011927,372,362,10,0.97
E01027680,374,370,4,0.99
E01027684,4487,4351,136,0.97
E01027697,472,469,3,0.99
E01027698,374,352,22,0.94
E01027699,376,354,22,0.94
E01027703,7109,6929,180,0.98
E01027704,744,735,9,0.99
E01027717,376,367,9,0.98
E01027724,748,715,33,0.96
E01027725,1866,1790,76,0.96
E01027730,376,372,4,0.99
E01027732,372,369,3,0.99
E01027733,374,364,10,0.97
E01027734,1492,1461,31,0.98
E01027735,6141,6035,106,0.98
E01027875,748,738,10,0.99
E01027891,2250,2160,90,0.96
E01027892,1122,1057,65,0.94
E01027898,2260,1965,295,0.87
E01027899,373,348,25,0.93
E01027904,376,366,10,0.97
E01027914,1867,1791,76,0.96
E01027915,786,768,18,0.98
E01027917,748,711,37,0.95
E01027918,1866,1808,58,0.97
E01027920,748,735,13,0.98
E01027921,1864,1742,122,0.94
E01027922,15255,14811,444,0.97
E01027923,373,333,40,0.89
No postcode/not aligned to an LSOA,100515,93898,6617,0.93
